county,date,countm_u20,countm_o21,countm_total,countc_total,,,,,,,,,,
Mineral,July 2024,,,160,NR,,,,,,,,,,
Moffat,July 2024,1290,1731,3021,306,,,,,,,,,,
Montezuma,July 2024,3165,5236,8401,715,,,,,,,,,,
Montrose,July 2024,4343,6250,10593,1397,,,,,,,,,,
Morgan,July 2024,3632,4018,7650,906,,,,,,,,,,
Otero,July 2024,2770,4296,7066,468,,,,,,,,,,
Ouray,July 2024,166,368,534,70,,,,,,,,,,
Park,July 2024,815,1859,2674,143,,,,,,,,,,
Phillips,July 2024,425,530,955,117,,,,,,,,,,
Pitkin,July 2024,304,744,1048,137,,,,,,,,,,
Prowers,July 2024,1805,2547,4352,471,,,,,,,,,,
Pueblo,July 2024,23499,38429,61928,3012,,,,,,,,,,
Rio Blanco,July 2024,514,696,1210,112,,,,,,,,,,
Rio Grande,July 2024,1354,2367,3721,288,,,,,,,,,,
Routt,July 2024,718,1328,2046,320,,,,,,,,,,
Saguache,July 2024,809,1433,2242,152,,,,,,,,,,
San Juan,July 2024,,,138,NR,,,,,,,,,,
San Miguel,July 2024,288,572,860,123,,,,,,,,,,
Sedgwick,July 2024,219,438,657,40,,,,,,,,,,
Summit,July 2024,1203,1962,3165,445,,,,,,,,,,
Teller,July 2024,1569,3017,4586,322,,,,,,,,,,
Washington,July 2024,538,644,1182,103,,,,,,,,,,
Weld,July 2024,35236,38908,74144,7449,,,,,,,,,,
Yuma,July 2024,1226,1245,2471,276,,,,,,,,,,
